,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
8777,45+,170,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8778,18-24,460,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8779,25-44,680,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8780,45+,170,ALL,Western-US-CA-EU-AU-NZ,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8781,18-24,170,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8782,25-44,450,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8783,45+,100,ALL,Western-US-CA-EU-AU-NZ,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8784,18-24,4700,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8785,25-44,11000,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8786,45+,1100,ALL,Not Expats,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8787,18-24,1300,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8788,25-44,5200,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8789,45+,630,ALL,Not Expats,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8790,18-24,3400,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8791,25-44,6600,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8792,45+,1300,ALL,Not Expats,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8793,18-24,1200,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8794,25-44,3200,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8795,45+,440,ALL,Not Expats,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8796,18-24,2100,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8797,25-44,2800,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8798,45+,280,ALL,Not Expats,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8799,18-24,960,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8800,25-44,1400,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8801,45+,90,ALL,Not Expats,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8802,18-24,3200,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8803,25-44,14000,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8804,45+,1600,ALL,Others,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8805,18-24,1100,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8806,25-44,6600,ALL,Others,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
